grupo,equipo,jugador
Grupo A,México,Roberto Alvarado
Grupo A,México,César Huerta
Grupo A,México,Guillermo Martínez
Grupo A,México,Armando González
Grupo A,México,Santiago Giménez
Grupo A,México,Raúl Jiménez
Grupo A,México,Julián Quiñones
Grupo A,México,Alexis Vega
Grupo A,Sudáfrica,Oswin Appollis
Grupo A,Sudáfrica,Iqraam Rayners
Grupo A,Sudáfrica,Tshepang Moremi
Grupo A,Sudáfrica,Relebohile Mofokeng
Grupo A,Sudáfrica,Evidence Makgopa
Grupo A,Sudáfrica,Themba Zwane
Grupo A,Sudáfrica,Lyle Foster
Grupo A,Sudáfrica,Thapelo Maseko
Grupo A,Corea del Sur,Song Heung-Min
Grupo A,Corea del Sur,Oh Hyeon-Gyu
Grupo A,Corea del Sur,Cho Gue-Sung
Grupo A,República Checa,Patrick Schick
Grupo A,República Checa,Lukas Provod
Grupo A,República Checa,Adam Hlozek
Grupo A,República Checa,Mojmir Chytil
Grupo A,República Checa,Jan Kuchta
Grupo A,República Checa,Tomas Chory
Grupo B,Canadá,Jonathan David
Grupo B,Canadá,Promise David
Grupo B,Canadá,Cyle Larin
Grupo B,Canadá,Tani Oluwaseyi
Grupo B,Bosnia y Herzegovina,Ermedin Demirovic
Grupo B,Bosnia y Herzegovina,Jovo Lukic
Grupo B,Bosnia y Herzegovina,Samed Bazdar
Grupo B,Bosnia y Herzegovina,Haris Tabakovic
Grupo B,Bosnia y Herzegovina,Edin Dzeko
Grupo B,Qatar,Ahmed Al Janhi
Grupo B,Qatar,Ahmed Alaa
Grupo B,Qatar,Akram Afif
Grupo B,Qatar,Almoez Ali
Grupo B,Qatar,Edmilson Junior
Grupo B,Qatar,Hassan Al Haydos
Grupo B,Qatar,Mohammed Muntari
Grupo B,Qatar,Tahsin Mohammed
Grupo B,Qatar,Yusuf Abdurisag
Grupo B,Suiza,Zeki Amdouni
Grupo B,Suiza,Breel Embolo
Grupo B,Suiza,Cedric Itten
Grupo B,Suiza,Dan Ndoye
Grupo B,Suiza,Noah Okafor
Grupo B,Suiza,Ruben Vargas
Grupo C,Brasil,Vinicius Jr
Grupo C,Brasil,Raphinha
Grupo C,Brasil,Matheus Cunha
Grupo C,Brasil,Luiz Henrique
Grupo C,Brasil,Igor Thiago
Grupo C,Brasil,Endrick
Grupo C,Brasil,Martinelli
Grupo C,Brasil,Rayan
Grupo C,Brasil,Neymar
Grupo C,Marruecos,Brahim Díaz
Grupo C,Marruecos,Chemsdine Talbi
Grupo C,Marruecos,Ayoub El Kaabi
Grupo C,Marruecos,Soufiane Rahimi
Grupo C,Marruecos,Abde Ezzalzouli
Grupo C,Marruecos,Ayoube Amaimouni
Grupo C,Marruecos,Yassine Gessime
Grupo C,Haití,Louicius Deedson
Grupo C,Haití,Ruben Providence
Grupo C,Haití,Josué Casimir
Grupo C,Haití,Derrick Etienne
Grupo C,Haití,Wilson Isidor
Grupo C,Haití,Duckens Nazon
Grupo C,Haití,Frantzdy Pierrot
Grupo C,Haití,Yassin Fortune
Grupo C,Haití,Lenny Joseph
Grupo C,Escocia,Ché Adams
Grupo C,Escocia,Lyndon Dykes
Grupo C,Escocia,George Hirst
Grupo C,Escocia,Lawrence Shankland
Grupo C,Escocia,Ross Stewart
Grupo D,Estados Unidos,Folarin Balogun
Grupo D,Estados Unidos,Ricardo Pepi
Grupo D,Estados Unidos,Haji Wright
Grupo D,Paraguay,Alex Arce
Grupo D,Paraguay,Gabriel Ávalos
Grupo D,Paraguay,Isidro Pitta
Grupo D,Paraguay,Miguel Almirón
Grupo D,Paraguay,Julio Enciso
Grupo D,Paraguay,Antonio Sanabria
Grupo D,Australia,Mathew Leckie
Grupo D,Australia,Nishan Velupillay
Grupo D,Australia,Nestoy Irakunda
Grupo D,Australia,Awer Mabil
Grupo D,Australia,Mohamed Touré
Grupo D,Australia,Cristian Volpato
Grupo D,Australia,Tete Yengi
Grupo D,Turquía,Yusuf Sari
Grupo D,Turquía,Yunus Akgün
Grupo D,Turquía,Kerem Aktürkoglu
Grupo D,Turquía,Baris Alper Yilmaz
Grupo D,Turquía,Oguz Aydin
Grupo D,Turquía,Deniz Gül
Grupo D,Turquía,Kenan Yildiz
Grupo E,Alemania,Deniz Undav
Grupo E,Alemania,Kai Havertz
Grupo E,Alemania,Maximilian Beier
Grupo E,Alemania,Leroy Sané
Grupo E,Alemania,Nick Woltemade
Grupo E,Curazao,Jeremy Antonisse
Grupo E,Curazao,Tahith Chong
Grupo E,Curazao,Kenji Gorré
Grupo E,Curazao,Sontje Hansen
Grupo E,Curazao,Gervane Kastaneer
Grupo E,Curazao,Brandley Kuwas
Grupo E,Curazao,Jürgen Locadia
Grupo E,Curazao,Jearl Margaritha
Grupo E,Costa de Marfil,Simón Adingra
Grupo E,Costa de Marfil,Ange-Yoan Bonny
Grupo E,Costa de Marfil,Amad Diallo
Grupo E,Costa de Marfil,Oumar Diakite
Grupo E,Costa de Marfil,Yan Diomande
Grupo E,Costa de Marfil,Evann Guessand
Grupo E,Costa de Marfil,Nicolas Pepe
Grupo E,Costa de Marfil,Bazoumana Toure
Grupo E,Costa de Marfil,Elye Wahi
Grupo E,Ecuador,Gonzalo Plata
Grupo E,Ecuador,John Yeboah
Grupo E,Ecuador,Enner Valencia
Grupo E,Ecuador,Jordy Caicedo
Grupo E,Ecuador,Jeremy Arévalo
Grupo E,Ecuador,Anthony Valencia
Grupo E,Ecuador,Kevin Rodríguez
Grupo F,Países Bajos,Brian Brobbey
Grupo F,Países Bajos,Memphis Depay
Grupo F,Países Bajos,Cody Gakpo
Grupo F,Países Bajos,Justin Kluivert
Grupo F,Países Bajos,Donyell Malen
Grupo F,Países Bajos,Wout Weghorst
Grupo F,Japón,Kaito Nakamura
Grupo F,Japón,Daizen Maeda
Grupo F,Japón,Koki Ogawa
Grupo F,Japón,Takefusa Kubo
Grupo F,Japón,Yuito Suzuki
Grupo F,Japón,Kento Shiogai
Grupo F,Japón,Keisuke Goto
Grupo F,Japón,Ritsu Doan
Grupo F,Japón,Ayase Ueda
Grupo F,Suecia,Alexander Isak
Grupo F,Suecia,Viktor Gyökeres
Grupo F,Suecia,Benjamin Nygren
Grupo F,Suecia,Anthony Elanga
Grupo F,Suecia,Alexander Bernhardsson
Grupo F,Suecia,Gustaf Nilsson
Grupo F,Suecia,Taha Ali
Grupo F,Túnez,Khalil Ayari
Grupo F,Túnez,Elias Achouri
Grupo F,Túnez,Elias Saad
Grupo F,Túnez,Firas Chaouat
Grupo F,Túnez,Hazem Mastouri
Grupo F,Túnez,Rayan Elloumi
Grupo F,Túnez,Sebastian Tounekti
Grupo G,Bélgica,Jérémy Doku
Grupo G,Bélgica,Leandro Trossard
Grupo G,Bélgica,Alexis Saelemaekers
Grupo G,Bélgica,Dodi Lukebakio
Grupo G,Bélgica,Romelu Lukaku
Grupo G,Bélgica,Charles de Ketelaere
Grupo G,Bélgica,Matias Fernández-Pardo
Grupo G,Bélgica,Diego Moreira
Grupo G,Egipto,Mohamed Salah
Grupo G,Egipto,Omar Marmoush
Grupo G,Egipto,Aktai Abdullah
Grupo G,Irán,Mehdi Taremi
