grupo,equipo,jugador
Grupo A,México,Carlos Acevedo
Grupo A,México,Guillermo Ochoa
Grupo A,México,Raúl Rangel
Grupo A,México,César Montes
Grupo A,México,Edson álvarez
Grupo A,México,Israel Reyes
Grupo A,México,Jesús Gallardo
Grupo A,México,Johan Vásquez
Grupo A,México,Jorge Sánchez
Grupo A,México,Mateo Chávez
Grupo A,México,Álvaro Fidalgo
Grupo A,México,Brian Gutiérrez
Grupo A,México,Erik Lira
Grupo A,México,Gilberto Mora
Grupo A,México,Luis Chávez
Grupo A,México,Luis Romo
Grupo A,México,Obed Vargas
Grupo A,México,Orbelín Pineda
Grupo A,México,Alexis Vega
Grupo A,México,Armando González
Grupo A,México,César Huerta
Grupo A,México,Guillermo Martínez
Grupo A,México,Julián Quiñones
Grupo A,México,Raúl Jiménez
Grupo A,México,Roberto Alvarado
Grupo A,México,Santiago Gimenez
Grupo A,Sudáfrica,Ronwen Williams
Grupo A,Sudáfrica,Ricardo Goss
Grupo A,Sudáfrica,Sipho Chaine
Grupo A,Sudáfrica,Khuliso Mudau
Grupo A,Sudáfrica,Olwethu Makhanya
Grupo A,Sudáfrica,Bradley Cross
Grupo A,Sudáfrica,Thabang Matuludi
Grupo A,Sudáfrica,Knosinathi Sibisi
Grupo A,Sudáfrica,Aubrey Modiba
Grupo A,Sudáfrica,Khulumani Ndamane
Grupo A,Sudáfrica,Ime Okon
Grupo A,Sudáfrica,Samukele Kabini
Grupo A,Sudáfrica,Mbekezeli Mbokazi
Grupo A,Sudáfrica,Teboho Mokoena
Grupo A,Sudáfrica,Jayden Adams
Grupo A,Sudáfrica,Thalente Mbatha
Grupo A,Sudáfrica,Sphephelo Sithole
Grupo A,Sudáfrica,Oswin Appollis
Grupo A,Sudáfrica,Tshepang Moremi
Grupo A,Sudáfrica,Evidence Makgopa
Grupo A,Sudáfrica,Lyle Foster
Grupo A,Sudáfrica,Iqraam Rayners
Grupo A,Sudáfrica,Relebohile Mokofoeng
Grupo A,Sudáfrica,Themba Zwane
Grupo A,Sudáfrica,Kamogelo Sebelebele
Grupo A,Sudáfrica,Thapelo Maseko
Grupo A,Corea del Sur,Jo Hyun-Woo
Grupo A,Corea del Sur,Kim Seung-Gyu
Grupo A,Corea del Sur,Song Bum-Keun
Grupo A,Corea del Sur,Kim Min-Jae
Grupo A,Corea del Sur,Jo Yu-Min
Grupo A,Corea del Sur,Lee Han-Beom
Grupo A,Corea del Sur,Kim Tae-Hyun
Grupo A,Corea del Sur,Park Jin-Seop
Grupo A,Corea del Sur,Lee Ki-Hyeok
Grupo A,Corea del Sur,Lee Tae-Seok
Grupo A,Corea del Sur,Seol Young-Woo
Grupo A,Corea del Sur,Jens Castrop
Grupo A,Corea del Sur,Kim Moon-Hwan
Grupo A,Corea del Sur,Yang Hyun-Jun
Grupo A,Corea del Sur,Paik Seung-Ho
Grupo A,Corea del Sur,Hwang In-Beom
Grupo A,Corea del Sur,Kim Jin-Kyu
Grupo A,Corea del Sur,Bae Jun-Ho
Grupo A,Corea del Sur,Um Ji-Sung
Grupo A,Corea del Sur,Hwang Hee-Chan
Grupo A,Corea del Sur,Lee Dong-Gyeong
Grupo A,Corea del Sur,Lee Jae-Sung
Grupo A,Corea del Sur,Lee Kang-In
Grupo A,Corea del Sur,Oh Hyun-Kyu
Grupo A,Corea del Sur,Son Heung-Min
Grupo A,Corea del Sur,Cho Kyu-Sung
Grupo A,Chequia,Lukás Hornícek
Grupo A,Chequia,Matej Kovár
Grupo A,Chequia,Jindrich Stanek
Grupo A,Chequia,Vladimír Coufal
Grupo A,Chequia,David Doudera
Grupo A,Chequia,Tomás Holes
Grupo A,Chequia,Robin Hranác
Grupo A,Chequia,Stepán Chaloupek
Grupo A,Chequia,David Jurásek
Grupo A,Chequia,Ladislav Krejcí
Grupo A,Chequia,Jaroslav Zeleny
Grupo A,Chequia,David Zima
Grupo A,Chequia,Lukás Cerv
Grupo A,Chequia,Vladimír Darida
Grupo A,Chequia,Lukás Provod
Grupo A,Chequia,Michal Sadílek
Grupo A,Chequia,Hugo Sochurek
Grupo A,Chequia,Alexandr Sojka
Grupo A,Chequia,Tomás Soucek
Grupo A,Chequia,Pavel Sulc
Grupo A,Chequia,Denis Visinsky
Grupo A,Chequia,Tomás Chory
Grupo A,Chequia,Adam Hlozek
Grupo A,Chequia,Mojmír Chytil
Grupo A,Chequia,Jan Kuchta
Grupo A,Chequia,Patrik Schick
Grupo B,Canadá,Maxime Crépeau
Grupo B,Canadá,Owen Goodman
Grupo B,Canadá,Dayne St. Clair
Grupo B,Canadá,Moïse Bombito
Grupo B,Canadá,Derek Cornelius
Grupo B,Canadá,Alphonso Davies
Grupo B,Canadá,Luc de Fougerolles
Grupo B,Canadá,Alistair Johnston
Grupo B,Canadá,Alfie Jones
Grupo B,Canadá,Richie Laryea
Grupo B,Canadá,Niko Sigur
Grupo B,Canadá,Joel Waterman
Grupo B,Canadá,Ali Ahmed
Grupo B,Canadá,Tajon Buchanan
Grupo B,Canadá,Mathieu Choinière
Grupo B,Canadá,Stephen Eustáquio
Grupo B,Canadá,Marcelo Flores
Grupo B,Canadá,Ismaël Koné
Grupo B,Canadá,Liam Millar
Grupo B,Canadá,Jonathan Osorio
Grupo B,Canadá,Nathan Saliba
Grupo B,Canadá,Jacob Shaffelburg
Grupo B,Canadá,Jonathan David
Grupo B,Canadá,Promise David
Grupo B,Canadá,Cyle Larin
Grupo B,Canadá,Tani Oluwaseyi
Grupo B,Bosnia-Herzegovina,Nikola Vasilj
Grupo B,Bosnia-Herzegovina,Martin Zlomislic
Grupo B,Bosnia-Herzegovina,Osman Hadzikic
Grupo B,Bosnia-Herzegovina,Sead Kolasinac
Grupo B,Bosnia-Herzegovina,Amar Dedic
Grupo B,Bosnia-Herzegovina,Nihad Mujakic
Grupo B,Bosnia-Herzegovina,Nikola Katic
Grupo B,Bosnia-Herzegovina,Tarik Muharemovic
Grupo B,Bosnia-Herzegovina,Stjepan Radeljic
Grupo B,Bosnia-Herzegovina,Dennis Hadzikadunic
Grupo B,Bosnia-Herzegovina,Nidal Celik
Grupo B,Bosnia-Herzegovina,Amir Hadziahmetovic
Grupo B,Bosnia-Herzegovina,Ivan Sunjic
