grupo,equipo,portero
Grupo A,México,Raúl Rangel
Grupo A,México,Carlos Acevedo
Grupo A,México,Guillermo Ochoa
Grupo A,Sudáfrica,Ronwen Williams
Grupo A,Sudáfrica,Ricardo Goss
Grupo A,Sudáfrica,Sipho Chaine
Grupo A,Corea del Sur,Kim Seung-Gyu
Grupo A,Corea del Sur,Song Bum Keun
Grupo A,Corea del Sur,Jo Hyeon-Woo
Grupo A,República Checa,Lukas Hornicek
Grupo A,República Checa,Matej Kovar
Grupo A,República Checa,Jindrich Stanek
Grupo B,Canadá,Maxime Crépau
Grupo B,Canadá,Owen Goodman
Grupo B,Canadá,Dayne St. Clair
Grupo B,Bosnia y Herzegovina,Nikola Vasilj
Grupo B,Bosnia y Herzegovina,Martin Zlomislic
Grupo B,Bosnia y Herzegovina,Osman Hadzikic
Grupo B,Qatar,Mahmoud Abunada
Grupo B,Qatar,Meshaal Barsham
Grupo B,Qatar,Salah Zakaria
Grupo B,Suiza,Marvin Keller
Grupo B,Suiza,Gregor Kobel
Grupo B,Suiza,Yvon Mvogo
Grupo C,Brasil,Alisson
Grupo C,Brasil,Ederson
Grupo C,Brasil,Weverton
Grupo C,Marruecos,Yassine Bounou
Grupo C,Marruecos,Munir El Kajoui
Grupo C,Marruecos,Ajmed Reda Tagnaouti
Grupo C,Haití,Johnny Placide
Grupo C,Haití,Alexandre Pierre
Grupo C,Haití,Josué Duverger
Grupo C,Escocia,Craig Gordon
Grupo C,Escocia,Angus Gunn
Grupo C,Escocia,Liam Kelly
Grupo D,Estados Unidos,Matt Freese
Grupo D,Estados Unidos,Matt Turner
Grupo D,Estados Unidos,Chris Brady
Grupo D,Paraguay,Orlando Gill
Grupo D,Paraguay,Roberto Fernández
Grupo D,Paraguay,Gastón Olveira
Grupo D,Australia,Matthew Ryan
Grupo D,Australia,Patrick Beach
Grupo D,Australia,Paul Izzo
Grupo D,Turquía,Mert Günok
Grupo D,Turquía,Ugurcan Çakir
Grupo D,Turquía,Muhammed Sengezer
Grupo E,Alemania,Manuel Neuer
Grupo E,Alemania,Oliver Baumann
Grupo E,Alemania,Alexander Nübel
Grupo E,Curazao,Tyrick Bodak
Grupo E,Curazao,Trevor Doornbusch
Grupo E,Curazao,Eloy Room
Grupo E,Costa de Marfil,Yahia Fofana
Grupo E,Costa de Marfil,Mohamed Kone
Grupo E,Costa de Marfil,Alban Lafont
